title,authors,abstract,paper_url,github_url,github_stars,published_date,source,_normalized_at
Local magnetic correlations and light-sensitive centers in the Cr2AlC MAX phase,"['Malgorzata Wierzbowska', 'Anna Basa', 'Kazuhiro Marumoto', 'Jiaxi Wang', 'Katarzyna Gas', 'Maciej Sawicki', 'Kacper Sierakowski', 'Karel Carva', 'Michal Bockowski']","Cr2AlC MAX phase is synthesized by high-pressure solid-state annealing and investigated as a candidate platform for optically responsive magnetism. Structural characterization confirms the formation of the Cr2AlC phase, while magnetic and optical-magnetic properties are examined by superconducting quantum interference device (SQUID) magnetometry, electron spin resonance (ESR), and first principles calculations. SQUID magnetometry identifies Cr 2AlC as a weak, field-linear metallic paramagnet dom",http://arxiv.org/abs/2607.15110v1,,0,2026-07-16T15:21:51+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
Accelerated descriptor-free path sampling for protein-ligand binding kinetics,"['Simon M. Lichtinger', 'Roberto Covino']","The kinetics of protein-ligand binding systems are increasingly recognized as a key determinant of drug efficacy, yet remain far harder to compute than binding affinities. Existing kinetics methods either bias the dynamics along a collective variable (CV), demanding careful system-specific CV design, or use path sampling, which keeps the dynamics unbiased but can struggle to converge rates out of deep free-energy wells and often relies on hand-engineered descriptors. By combining the `best of bo",http://arxiv.org/abs/2607.15101v1,,0,2026-07-16T15:13:03+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
BrainPilot: Automating Brain Discovery with Agentic Research,"['Haoxuan Li', 'Tianci Gao', 'Jianhe Li', 'Yang Fan', 'Runze Shi', 'Weiran Wang', 'Tianxiang Zhao', 'Zezhao Wu', 'Xiaoyang Jiang', 'Qihui Zhang', 'Jia Li', 'Xiao Xiao', 'Kai Du', 'Xiaoxuan Jia', 'Chao Xie', 'Lu Mi']","Understanding the brain increasingly depends on integrating evidence across scales, modalities, and disciplines. Addressing a single research question therefore requires a coordinated sequence of operations, from surveying prior work to executing analyses and interpreting results in light of domain knowledge. AI agents promise to accelerate this process, but current agents lack domain expertise in brain science, may fabricate claims, drift during multi-step reasoning, and offer few defined point",http://arxiv.org/abs/2607.15079v1,,0,2026-07-16T14:49:25+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
ANet Patu-1: The Value of Connection in the Agent Network,"['Mu Yuan', 'Jinke Song', 'Zhaomeng Zhou', 'Lan Zhang']","The Internet taught us that the value of a network depends on \emph{how} its nodes connect: broadcast stars scale as $V\!\propto\!N$ (Sarnoff), fully-connected meshes as $N^2$ (Metcalfe), and group-forming networks as $2^{N}$ (Reed). We ask the analogous question for networks of AI agents. We model the net value of connection as a function of coordination-group size, derive from it the properties an optimal collaboration protocol must have, and introduce ANet Patu-1 -- a self-organizing consensu",http://arxiv.org/abs/2607.15053v1,,0,2026-07-16T14:31:15+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
SCITUS: A Multi-Jurisdictional Framework for Adapting NIST AI RMF to the Canadian Regulatory Context,['Mohammad Etemad'],"Canadian organizations deploying artificial intelligence systems face a fragmented regulatory landscape spanning federal requirements (the Treasury Board Directive on Automated Decision-Making) and divergent provincial regulations across Ontario, Quebec, Alberta, Manitoba, and British Columbia. The death of Bill C-27 (Artificial Intelligence and Data Act) in January 2025 - and the federal government's June 2026 confirmation that it will pursue targeted instruments rather than omnibus AI legislat",http://arxiv.org/abs/2607.15051v1,,0,2026-07-16T14:29:52+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
Video = World + Event Stream,"['Lianghua Huang', 'Zhi-Fan Wu', 'Yupeng Shi', 'Wei Wang', 'Mengyang Feng', 'Cheng Yu', 'Chen Liang', 'Junjie He', 'Chen-Wei Xie', 'Yu Liu', 'Jingren Zhou', 'Ang Wang', 'Bang Zhang', 'Baole Ai', 'Chongyang Zhong', 'Jinwei Qi', 'Kai Zhu', 'Pandeng Li', 'Peng Zhang', 'Wenyuan Zhang', 'Xinhua Cheng', 'Yitong Huang', 'Yun Zheng', 'Yuxiang Bao', 'Yuzheng Wang', 'Zhiwei Lin', 'Zoubin Bi']","We present Wan-Streamer v0.3, which reframes our native-streaming interaction model under a single organizing view: a video is a world plus an event stream. The world is the persistent context in which a video unfolds, including the environment, scene, subjects, ambient acoustic conditions, voice characteristics, and other relatively stable conditions. The event stream is everything that changes over time within that world, including scene or environmental changes, subject behavior, speech, and ",http://arxiv.org/abs/2607.15038v1,,0,2026-07-16T14:19:42+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
"Man, Machine, and Masterpiece: Artistic Ownership in the AI Era","['Sofi Gjing Jovanovska', 'Kuntal Ghosh', 'Daniel Muhu Njenga', 'Ahmed Mufassir', 'Shadan Sadeghian']","The integration of AI-driven systems in creative work has sparked debates among artists and legal communities about notions of ownership. Yet there remains little consensus on how ownership should be defined and attributed when human and AI contributions are intertwined. To provoke critical reflection on these tensions, we designed ArtSplit, a provotype that explicitly quantifies human and AI contributions across different stages of creative work. Rather than aiming to resolve ownership, the pro",http://arxiv.org/abs/2607.15027v1,,0,2026-07-16T14:12:53+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
When AI Blurs the Boundaries of Contribution: An Empirical Study of Authorship Calibration,"['Célina Treuillier', 'Denis Lalanne']","The broad adoption of Artificial Intelligence (AI), especially Generative AI, raises pressing questions about how users interact with these systems to produce new content. In this paper, we introduce the concept of authorship calibration, defined as users awareness of their actual authorship when interacting with AI. Using the CoAuthor dataset, we empirically examine how authorship calibration varies across users and how it relates to their frequency of AI use. Our results reveal high variabilit",http://arxiv.org/abs/2607.15006v1,,0,2026-07-16T13:52:59+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
Moral Attitudes of Sentient ASI towards Humanity and Implications for AGI Development,['Jean-Paul Van Belle'],"This paper suggests the adoption of a novel inversion in AI ethics: instead of asking how humans should treat artificial superintelligence (ASI), it examines how future sentient ASI may morally consider and evaluate humanity. We are not only designing intelligent systems but also shaping the initial conditions under which those systems form judgments about us. The paper proposes a preliminary set of post-human moral principles that may govern sentient ASI actions. The implication is that technic",http://arxiv.org/abs/2607.14998v1,,0,2026-07-16T13:46:14+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
OmniaBench: Benchmarking General AI Agents Across Diverse Scenarios,"['Chengyu Shen', 'Yujie Fu', 'Gangtao Xin', 'Yanheng Hou', 'Wenlong Fei', 'Guojie Zhu', 'Jiawei Li', 'Hongcheng Gao', 'Runming He', 'Zhen Hao Wong', 'Meiyi Qiang', 'Hao Liang', 'Zhao Cao', 'Hao Jiang', 'Chong Chen', 'Wentao Zhang']","Large language models are increasingly evolving from text generators into general agents capable of understanding user requests, invoking external tools, and completing complex tasks through interaction. However, existing agent benchmarks often focus on limited scenarios, tool ecosystems, or interaction formats, making it difficult to systematically characterize model capabilities across heterogeneous application settings. We introduce OmniaBench, a benchmark for evaluating general agents across",http://arxiv.org/abs/2607.14989v1,,0,2026-07-16T13:38:07+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
Explaining Process Control Optimisation Recommendations via GradientSHAP and Implicit Differentiation,"['Paul Darm', 'Cem Alpturk', 'Kenneth Ulrich', 'William Duncan', 'Ali Anwar', 'Annalisa Riccardi']","Automated optimisation is increasingly adopted in industrial processes, yet a trust gap persists between engineers who design these algorithms and operators who must act on their recommendations. Explainable AI methods like SHAP (SHapley Additive exPlanations) have transformed interpretability for machine learning predictions; optimisation outputs could benefit from similar techniques. We present an approach that integrates Implicit Function Theorem (IFT) based sensitivity analysis with SHAP att",http://arxiv.org/abs/2607.14970v1,,0,2026-07-16T13:25:53+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
Latent Trajectory Discrimination for AI-Generated Text Detection,"['Gianluca Bonifazi', 'Christopher Buratti', 'Michele Marchetti', 'Federica Parlapiano', 'Giulia Quaglieri', 'Davide Traini', 'Domenico Ursino', 'Luca Virgili']","Most existing approaches to AI-Generated Text Detection (AIGTD) treat documents as static objects and base their decisions on aggregate statistics or globally compressed embeddings. However, this perspective overlooks the inherently dynamic nature of autoregressive generation, where content evolves progressively through the latent space. In this paper, we reformulate AIGTD as the problem of distinguishing between latent generation trajectories. Instead of relying on static representations, we mo",http://arxiv.org/abs/2607.14967v1,,0,2026-07-16T13:19:14+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
LongStraw: Long-Context RL Beyond 2M Tokens under a Fixed GPU Budget,"['Changhai Zhou', 'Kieran Liu', 'Yuhua Zhou', 'Qian Qiao', 'Jun Gao', 'Harry Zhang', 'Irvine Lu', 'Nolan Ho', 'Lucian Li', 'Andrew Lei', 'Cleon Cheng', 'Steven Chiang', 'Yihang Zeng', 'Di Zhang', 'Rio Yang', 'Kaijie Chen', 'Andrew Chen', 'Pony Ma', 'Weizhong Zhang', 'Cheng Jin']","A growing gap separates inference context lengths from RL post-training: inference systems are approaching million-token contexts, while post-training workloads often remain at 256K tokens or below and rely on length generalization at deployment. The gap is especially important for AI agents, whose observations, tool outputs, documents, and prior decisions accumulate over long trajectories. LongStraw is an architecture-aware execution stack for million-token RL post-training under a fixed GPU bu",http://arxiv.org/abs/2607.14952v1,,0,2026-07-16T13:00:32+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
"Still image and spatial-temporal tomato data enabling detection, segmentation, tracking, and video-instance segmentation using strong and weak labels","['Michael Halstead', 'Esra Guclu', 'Mohamed Farag', 'Enrico Pallotta', 'Christian Hund', 'Ribana Roscher', 'Maren Bennewitz', 'Juergen Gall', 'Cyrill Stachniss', 'Chris McCool']","In this manuscript we release two datasets for visual sensing of tomato plants grown in commercial-like settings and acquired using a robot. The first is BUTom21 which consists of still images and manual annotations. The second is BUTom-ST21 which consists of video-based data and semi-automated annotations through AI-based methods, referred to as pseudo-labels. In both cases, we provide pixel-level labels for the ripeness of the fruit. The aim is to provide the research community a challenging s",http://arxiv.org/abs/2607.14934v1,,0,2026-07-16T12:47:55+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
Does generative AI supersede supervised XMLC? A Benchmark Study on Automated Subject Indexing with German Scientific Literature,"['Maximilian Kähler', 'Katja Konermann', 'Lisa Kluge', 'Markus Schumacher']","With a large controlled vocabulary as the label set, the task of automated subject indexing in a library can be understood as a multi-label classification task. If the set of subject terms is large, the problem fits the Extreme Multi-Label Classification (XMLC) objective. In this study, we apply a selection of specialised supervised XMLC methods to the test case of subject indexing contemporary German scientific literature, collected at the German National Library (DNB). We contrast these result",http://arxiv.org/abs/2607.14882v1,,0,2026-07-16T11:56:20+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
CAMB v2: cosmological power spectra for high-precision surveys,['Antony Lewis'],"Upcoming cosmic microwave background (CMB) and large-scale-structure surveys require theoretical power spectra with numerical errors well below their observational uncertainties over the scales that carry most of the constraining power. We describe a substantial update to CAMB designed to provide fast, high-precision predictions for two key outputs: the lensed CMB and matter power spectra. The central development is a new treatment of the hyperspherical Bessel functions used for line-of-sight in",http://arxiv.org/abs/2607.14854v1,,0,2026-07-16T11:23:33+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
RW-Voice-EQ Bench: A Real World Benchmark for Evaluating Voice AI Systems,"['David Ayllon', 'Alice Baird', 'Jeffrey Brooks', 'Franc Camps-Febrer', 'Jakub Piotr Cłapa', 'Theo Lebryk', 'Jens Madsen', 'Olya Ossipova', 'Sharath Rao', 'Hoon Shin', 'Tigran Soghbatyan', 'Georg Streich', 'Rashish Tandon', 'Panagiotis Tzirakis']","Current voice AI benchmarks typically evaluate isolated capabilities such as speech intelligibility, word error rate, or text-based dialogue quality, but they rarely test whether systems harness the acoustic information that distinguishes spoken language from its textual representation. To this end, we introduce the Real World Voice EQ Bench, a multidimensional benchmark for evaluating voice AI across text-to-speech (TTS), speech-to-speech (STS), speech understanding (SU), and automatic speech r",http://arxiv.org/abs/2607.14846v1,,0,2026-07-16T11:15:16+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
AI Prototyper: A Figma Plugin for Decomposition-Based GUI Prototyping with LLMs,"['Tawatchai Salangsingha', 'Sami Ashkan', 'Md Zia Ullah', 'Iain McGregor']","Graphical user interface (GUI) prototyping remains a time-consuming activity that demands both design expertise and considerable manual effort. As GUI prototypes are non-code artifacts that evolve alongside requirements throughout the development cycle, automating their generation is directly relevant to software maintenance and evolution. We present AI Prototyper, an open-source Figma plugin that automates GUI prototyping through a decomposition and retrieval-augmented generation (RAG) pipeline",http://arxiv.org/abs/2607.14830v1,,0,2026-07-16T10:49:37+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
Interventional Causal Circuits for Safe Robot Action Testing and Failure Recovery,"['Naren Vasantakumaar', 'Tom Schierenbeck', 'Michael Beetz']","Safe physical AI for robot actions are required not only likely to succeed but tested to be safe before execution. In practice, however, formal testing of motion parameters is computationally expensive, and the cost scales poorly with the dimensionality of the action space. When a proposed action is rejected by a tester, the naive response is to resample blindly until a passing candidate is found. This is wasteful, uninformative, and offers no convergence. We argue that rejection should instead ",http://arxiv.org/abs/2607.14826v1,,0,2026-07-16T10:41:20+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
TAMF-VTON: Texture-Aware Mask-Free Virtual Try-On via High-Fidelity Image Synthesis,"['Jie Wang', 'Qian He', 'Gaofeng He', 'Xiaogang Jin', 'Huamin Wang']","Recent diffusion-based virtual try-on (VTON) methods remain limited by their reliance on segmentation masks, insufficient preservation of fine-grained textures, and limited support for arbitrary multi-garment compositions. Consequently, existing approaches still face significant challenges in real-world e-commerce deployment. We present TAMF-VTON, a texture-aware, mask-free framework that enables high-fidelity image synthesis under practical unconstrained conditions. Our method requires no human",http://arxiv.org/abs/2607.14807v1,,0,2026-07-16T10:26:27+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
Unified Evaluation Methodology for AI-Native Integrated Sensing and Communication,"['Filip Lemic', 'Andra Blaga', 'Francesco Devoti', 'Guillermo Encinas Lago', 'Jan Adler', 'Amitha Mayya', 'Padmanava Sen', 'Giorgos Stratidakis', 'Sotiris Droulias', 'Angeliki Alexiou', 'Alexander Artemenko', 'Aya Mostafa Ahmed', 'Visa Koivunen', 'Robin Rajamäki', 'Simon Schütze', 'Robert Elschner', 'Amélie Hennequart', 'Ahmad Shoukair', 'Youssef Nasser', 'Nahuel Soprano-Loto', 'François Baccelli', 'Visa Tapio', 'Paul Almasan', 'Andra Lutu', 'Vincenzo Sciancalepore', 'Carmen Delgado', 'Xavier Costa-Pérez']","Integrated Sensing and Communication (ISAC) couples radio sensing, data transmission, and control actions within a single closed-loop system. When Artificial Intelligence (AI)-driven policies adapt sensing and communication online across a variety of sensing tasks and objectives, end-to-end performance is shaped not only by waveform and channel conditions but also by inference latency, uncertainty, environmental dynamics, and hardware non-idealities, leading to fundamental trade-offs between sen",http://arxiv.org/abs/2607.14806v1,,0,2026-07-16T10:23:49+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
CrimeNER Demo: Named-Entity Recognition in the Crime Domain,"['Miguel Lopez-Duran', 'Julian Fierrez', 'Aythami Morales', 'Daniel DeAlcala', 'Gonzalo Mancera', 'Javier Irigoyen', 'Ruben Tolosana', 'Oscar Delgado', 'Francisco Jurado', 'Alvaro Ortigosa']","We present CrimeNER Demo, an AI-powered platform that enables us to extract general crime-related information from documents and classify them into entity types with two levels of granularity. We provide pretrained NER models on the CrimeNER database, and we give the possibility to users to provide their own annotated data to train models for their own specific cases. This demonstrator aims to promote crime-related NER research and provides a practical tool to automatically extract crime informa",http://arxiv.org/abs/2607.14800v1,,0,2026-07-16T10:18:58+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
Ground-Side Mission Plan Compilation with Policy-as-Code Guardrails for Cloud-Native Satellite Platforms,"['Hsiu-Chi Tsai', 'Chia-Tung Chung']","Onboard cloud-native runtimes for satellites are emerging on multiple tracks (ORCHIDE, Axiom Space's AxDCU-1, Kepler's Jetson nodes), but each assumes that the workflow artifacts it executes arrive from the ground. ORCHIDE's architecture document D3.1 states explicitly that ""only the Deferred Phase is part of the ORCHIDE scope,"" and no open-source ground-side toolchain has been released by the consortium. We present Satellite Mission Compiler, a four-stage pipeline that addresses this gap: it ta",http://arxiv.org/abs/2607.14798v1,,0,2026-07-16T10:17:15+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
Global Index on Responsible AI: 2026 Report,"['Rachel Adams', 'Fola Adeleke', 'Ayantola Alayande', 'Selamawit Engida Abdella', 'Ana Florido', 'Nicolás Grossman', 'Leah Junck']","Grounded in human rights-based frameworks such as the UNESCO Recommendation on the Ethics of AI, the Global Index on Responsible AI (GIRAI) examines how countries translate responsible AI commitments into enforceable protections, institutional capacity, and redress mechanisms. GIRAI 2026 assesses these across five dimensions: Inclusion and Diversity, Ethics and Sustainability, Labour and Skills, Trust and Safety, and AI Use in Public Service. A global network of 135 country-level researchers col",http://arxiv.org/abs/2607.14782v1,,0,2026-07-16T10:00:56+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
AI vs Human Expert Reasoning: Assessing Agreements in Building Typology Predictions based on Street View Imagery,"['Zahratu Shabrina', 'Muhammad Asa', 'Jin Rui', 'Lu Yin', 'Stephen Law']","This research investigates the potential of Vision-Language Models (VLMs) to infer building typologies: Construction, Current Use, and Storeys from Google Street View (GSV) images. Predictions generated by VLMs are compared with inference by human experts (civil engineers and architects) as a source of manually labelled ground-truth data. We evaluate several state-of-the-art VLMs, including GPT-4o, Claude 3.5 Sonnet, and Gemini 2.0 Flash. By applying different scaling strategies and prompting te",http://arxiv.org/abs/2607.14756v1,,0,2026-07-16T09:41:33+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
The Misclassification of Autistic Writing as AI-Generated,"['Summer Chambers', 'Matthew C. Kelley']","Recent findings suggest that detection models for artificial intelligence (AI) cannot accurately identify AI-generated text and may exhibit bias against certain minority groups. In the present study, anecdotal claims that autistic writers more often have their work flagged as AI-generated are examined empirically. A corpus of approximately 60,000 Reddit posts split into ""likely-autistic"" and ""general-Reddit"" subcorpora is used to compare the distribution of probabilities output by the OpenAI GPT",http://arxiv.org/abs/2607.14729v1,,0,2026-07-16T08:54:09+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
Does Multi-Agent Debate Improve AI Feedback on Research Papers?,"['Tomas Havranek', 'Zuzana Irsova']","Probably not, at least for meta-analyses in economics. In a pre-registered, identity-masked, within-paper experiment, the authors of 44 meta-analyses ranked three AI reports on their own paper by usefulness for improving it: a single pass by a frontier model against two multi-agent debate tools we built and expected to win. All reports were held to a common length and template. The authors preferred the single pass, by 0.66 rank points over mad-research (95% CI 0.32 to 1.00) and 0.57 over paper-",http://arxiv.org/abs/2607.14713v1,,0,2026-07-16T08:24:27+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
MIND-CAVs: Multi-Intelligence Negotiation and Decision System for CAVs based on Intent-Driven Autonomy,"['Mainak Mondal', 'Yihang Feng', 'Yangchao Luo', 'Han Song']","Modern autonomous vehicles largely operate as isolated agents: they rely on on-board perception and decision modules and broadcast Basic Safety Messages (BSMs) that expose only low-level kinematic state. While existing cooperative driving frameworks enable limited sensor sharing, they rarely communicate high-level maneuver intentions, and edge computing is primarily used for content delivery rather than decision arbitration. As a result, current connected autonomy lacks a principled mechanism fo",http://arxiv.org/abs/2607.14688v1,,0,2026-07-16T07:46:34+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
GlobalForge: Towards Robust AI-Generated Image Detection,"['Manni Cui', 'Ruiqi Liu', 'Dianyuan Zou', 'Ziheng Qin', 'Jingrui Xu', 'ZiAn Wang', 'Jianglan Wei', 'Han Zhou', 'Yu Liu', 'Yan Wang', 'Shu Wu']","AI-generated image (AIGI) detectors achieve strong accuracy on clean benchmarks, but their performance drops sharply after images are propagated through real-world channels. We trace this fragility to what these detectors actually learn: they overfit to local artifacts left by generators in small spatial neighborhoods, which are easily destroyed by common propagation degradations such as JPEG compression and blur. Instead, we shift the discriminative cue from fragile local artifacts to more robu",http://arxiv.org/abs/2607.14684v1,,0,2026-07-16T07:44:43+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
"Project Kaleidoscope: Contextual, Human-Aligned Evaluation for Real-World AI Applications","['Leanne Tan', 'Rohan Jaggi', 'Shaun Khoo', 'Roy Ka-Wei Lee']","Evaluations (Evals) are a deployment bottleneck for real-world AI applications: public benchmarks rarely match a team's users, context, or policies, and human review is often tedious to scale. Motivated by our work with AI applications in the public sector, this project addresses recurring evaluation challenges encountered when applications must satisfy local policy and governance requirements. We present Kaleidoscope, an integrated workflow for contextual functional evaluation that links person",http://arxiv.org/abs/2607.14673v1,,0,2026-07-16T07:38:39+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
Rethinking Issue Resolution for AI/ML Systems,"['Ahmed Adnan', 'Mushfiqur Rahman', 'Antu Saha', 'Oscar Chaparro']","We advocate for AI/ML issue resolution frameworks tailored to maintenance workflows and the nature of modern AI/ML systems. Existing issue resolution frameworks largely emerged for traditional software maintenance practices and do not explicitly account for characteristics common in AI/ML systems, such as stochastic behavior, experimentation-driven workflows, and heterogeneous artifacts beyond source code. To identify the unique characteristics of issue resolution in AI/ML systems and motivate t",http://arxiv.org/abs/2607.14657v1,,0,2026-07-16T07:22:57+00:00Z,arXiv,2026-07-19T16:55:31.510670Z
